City,Country,Business services 2011 (%),Employment rate 2011 (%),GVA 2011 (Â£ billion),GVA per worker 2011 (Â£),High skilled population 2011 (%),Low skilled population 2011 (%),"Manufacturing, mining and utilities 2011 (%)",Medium skilled population 2011 (%),Other private services 2011 (%),Other sectors 2011 (%),Patent applications to the EPO 2011 (per 100K of population),Population 2011,Public services 2011 (%),Total jobs 2011,Unemployment rate 2011 (%)
Basel,Switzerland,27.34,74.71,19.03,73500.00,39.43,16.93,16.82,41.08,27.72,4.98,74.09,308326.00,23.14,255200.00,5.70
Basildon,United Kingdom,19.53,74.36,4.11,52400.00,22.75,39.41,14.22,33.25,35.08,6.40,16.71,174497.00,24.77,78400.00,5.29
Belfast,United Kingdom,0.00,67.01,11.93,47600.00,33.71,34.48,0.00,24.10,0.00,0.00,0.00,468712.00,0.00,0.00,7.50
Berlin,Germany,28.15,69.96,83.26,50900.00,36.48,15.82,8.47,47.79,30.01,4.86,19.65,3460725.00,28.51,1636100.00,12.08
Bern,Switzerland,28.14,79.36,14.02,60400.00,41.96,13.89,6.23,42.35,25.90,4.42,44.62,211197.00,35.31,232000.00,4.13
Besançon,France,15.39,67.31,4.37,48700.00,37.49,17.21,12.27,41.46,26.66,5.35,25.48,176472.00,40.32,89600.00,13.32
Bialystok,Poland,12.52,54.86,2.51,30500.00,5.18,33.83,18.01,51.41,27.56,6.49,0.37,294298.00,35.42,82300.00,11.65
Bielefeld,Germany,20.40,73.16,8.42,47300.00,29.98,19.16,15.96,55.20,29.79,4.05,28.38,323270.00,29.79,177900.00,7.42
Bilbao,Spain,22.23,64.65,17.41,58000.00,42.06,36.30,9.85,21.57,30.66,9.77,4.78,785036.00,27.49,300200.00,14.10
Birkenhead,United Kingdom,17.10,70.53,4.20,42700.00,30.69,31.18,10.10,34.86,29.81,4.84,24.20,319783.00,38.14,98400.00,8.61
Birmingham,United Kingdom,22.54,66.20,44.08,43300.00,26.09,38.67,12.69,28.51,30.48,4.82,3.11,2419500.00,29.46,1018400.00,11.73
Blackburn,United Kingdom,16.49,62.69,2.28,39000.00,23.31,39.91,18.62,29.32,29.50,3.57,5.64,147489.00,31.81,58400.00,8.69
Blackpool,United Kingdom,15.66,72.23,3.74,38600.00,25.20,36.01,15.44,34.32,33.56,3.97,2.45,217822.00,31.38,96900.00,7.07
Bochum,Germany,20.32,67.74,7.93,46300.00,26.61,16.58,14.65,56.13,28.08,4.96,20.91,374737.00,31.99,171300.00,8.08
Bologna,Italy,27.57,78.51,13.79,66800.00,33.27,23.32,8.38,39.25,35.81,3.77,24.15,380181.00,4.22,206500.00,7.04
Bonn,Germany,27.29,68.33,16.62,73900.00,47.24,12.82,5.20,39.06,27.29,2.18,26.04,324899.00,38.00,225000.00,5.17
Bordeaux,France,23.10,67.60,20.77,54200.00,39.79,15.47,9.00,41.30,27.56,6.62,10.08,720028.00,33.71,383500.00,12.70
Boucle de la Seine,France,20.32,76.24,2.83,66400.00,48.31,15.23,9.46,34.40,28.53,9.27,21.56,170305.00,32.42,42500.00,8.90
Bournemouth,United Kingdom,23.00,75.91,9.45,46800.00,32.53,28.32,10.31,33.91,34.45,5.11,7.50,466054.00,27.13,201900.00,5.95
Bradford,United Kingdom,20.24,64.37,8.41,42400.00,26.18,38.43,13.86,28.26,29.74,3.83,6.57,522452.00,32.33,198200.00,12.31
Braunschweig,Germany,27.55,74.30,7.76,51800.00,33.88,13.02,15.14,56.93,26.22,3.67,41.39,248867.00,27.35,149900.00,6.66
Breda,Netherlands,26.11,78.29,5.62,53700.00,43.40,21.17,7.74,35.99,28.68,5.49,10.41,174599.00,31.98,104800.00,4.21
Bremen,Germany,23.86,72.18,18.11,56600.00,30.43,19.62,17.15,52.28,32.42,3.94,11.37,547340.00,22.64,320200.00,7.26
Brescia,Italy,26.46,75.58,7.50,66300.00,24.00,32.47,13.35,40.12,36.83,4.18,16.82,193879.00,4.10,113000.00,7.60
Brest,France,16.96,65.64,4.93,46600.00,35.13,14.35,10.04,47.91,23.14,6.88,7.33,206823.00,42.98,106000.00,13.20
Brighton,United Kingdom,26.09,72.63,6.73,46500.00,43.32,24.64,5.49,26.97,35.20,3.63,4.28,334551.00,29.58,144700.00,7.08
Bristol,United Kingdom,32.65,76.21,19.10,49400.00,38.24,27.76,8.32,29.30,27.57,4.54,25.21,691001.00,26.92,386400.00,7.50
Brussels,Belgium,31.43,51.53,52.41,77600.00,29.47,23.36,4.55,18.51,25.06,3.22,11.21,1136778.00,35.74,675300.00,18.42
Budapest,Hungary,28.77,67.54,30.87,39700.00,37.84,9.49,10.66,52.67,33.11,5.00,3.48,1729040.00,22.45,777500.00,10.41
Burgas,Bulgaria,12.58,65.43,1.85,23100.00,34.26,9.68,18.37,55.21,41.54,13.64,0.00,200261.00,13.87,80100.00,13.75
Burgos,Spain,16.51,60.74,4.28,56200.00,41.72,34.70,23.58,23.22,27.63,8.59,1.08,178864.00,23.69,76200.00,17.39
Burnley,United Kingdom,14.67,75.36,2.93,44300.00,23.43,37.70,23.19,33.10,28.57,4.34,4.88,176511.00,29.22,66100.00,6.87
Bydgoszcz,Poland,16.31,56.51,4.07,35000.00,7.11,27.57,28.48,59.45,23.54,4.74,0.60,363020.00,26.93,116200.00,7.91
Caen,France,19.16,64.60,6.85,53900.00,33.25,20.00,10.62,42.36,28.05,6.40,10.99,216838.00,35.77,127200.00,14.38
Cagliari,Italy,22.15,69.92,4.77,51800.00,28.49,30.33,6.05,35.10,36.86,4.69,2.06,156488.00,3.77,92100.00,17.44
Cambridge,United Kingdom,27.03,77.57,4.54,50200.00,61.07,15.81,3.51,16.56,25.87,2.00,74.05,123867.00,41.60,90500.00,6.03
Cardiff,United Kingdom,27.29,70.66,8.41,42700.00,41.08,29.02,6.28,24.73,29.12,4.69,8.78,346090.00,32.63,196900.00,8.27
Cartagena,Spain,17.07,62.79,2.65,47600.00,30.59,48.07,15.98,21.23,41.80,13.27,0.84,215757.00,11.88,55800.00,19.99
